id,bathroom,locality,property_size,rent_amount,type_bhk
0,3,Gachibowli,2200,28000,3
2,3,Manikonda,1800,16000,3
3,2,LB Nagar,750,9000,2
6,2,Gachibowli,1198,29000,3
8,3,A. S. Rao Nagar,1800,21000,3
12,2,Miyapur,1750,20000,3
18,3,Manikonda,1650,23000,3
19,2,Kukatpally,1100,18000,2
20,2,Secunderabad,1800,20000,2
21,2,Secunderabad,1800,20000,2
22,3,Hafeezpet,2000,28000,3
25,2,Himayath Nagar,1000,19000,2
26,2,Upperpally,900,10000,2
27,3,Shaikpet,1625,16000,3
29,2,Bandlaguda Jagir,1400,20000,2
31,3,Kukatpally,2250,30000,3
32,2,Gajularamaram,1450,14500,2
34,2,Kukatpally,1040,15000,2
37,2,Himayatnagar,950,20000,2
38,2,Attapur,1250,16000,2
41,3,Miyapur,1650,18000,3
42,3,Miyapur,1650,18000,3
43,2,Kondapur,1570,27000,3
45,3,Hi Tech City,1621,25000,3
46,2,Shaikpet,1200,20000,2
47,2,Kukatpally,1250,18000,3
48,3,Bowenpally,2800,30000,3
49,2,Puppalguda,1300,16000,3
51,2,Madinaguda,1300,16000,3
52,2,Kukatpally,1150,18000,2
55,2,Himayatnagar,1200,20000,2
57,2,Somajiguda,850,19000,2
65,3,Kondapur,2093,27500,3
68,2,Vanasthalipuram,1175,16000,2
72,3,Bandlaguda,1620,15000,3
74,3,Manikonda,1580,22000,3
76,2,Musheerabad,1100,17999,2
81,3,Narsingi,1600,19000,3
88,3,Hyderabad,1600,23000,3
90,2,Musheerabad,1150,18000,2
92,2,Malakpet,1100,13000,2
96,3,Serilingampally,1900,18000,3
98,3,Narsingi,3300,30000,3
103,3,Kondapur,1433,24000,3
104,3,Kondapur,1919,28000,3
105,3,Kondapur,1919,28000,3
107,3,Patancheru,1860,20000,3
110,2,Miyapur,1712,23000,3
121,2,Kondapur,1100,18500,2
122,2,Madhapur,1065,18000,2
124,2,Madhapur,1400,27000,3
125,2,Toli Chowki,909,13000,2
126,2,Toli Chowki,909,13000,2
128,2,Nanakaramguda,1200,27000,3
133,2,Chanda Nagar,1400,20000,3
135,2,Pocharam,1255,9000,2
136,3,Nanakramguda,1920,30000,3
137,2,Nacharam,1190,15000,2
138,3,Madhapur,1400,25000,3
139,3,Kukatpally,1375,20000,3
140,3,Kukatpally,1400,23000,3
143,2,Vanasthalipuram,1300,9000,2
144,2,Gachibowli,1615,22000,3
150,3,Kondapur,2300,30000,3
154,2,Banjara Hills,1000,18000,2
155,3,Madinaguda,1685,30000,3
159,2,Punjagutta,950,16000,2
161,2,Kondapur,1425,24500,3
164,2,Kondapur,1400,22000,3
165,2,Kondapur,1560,20000,3
169,2,Kukatpally,1100,15000,2
170,2,A. S. Rao Nagar,1220,8000,2
172,2,Nallagandla,1230,19000,2
176,2,Balkampet,1100,15000,2
177,2,Kondapur,1348,24000,3
180,2,Nizampet,1490,16000,3
181,3,Sanath Nagar,1818,29000,3
185,3,Chanda Nagar,1640,22000,3
188,2,Kukatpally,1375,16500,3
189,2,Kukatpally,1375,16500,3
190,2,Kondapur,1560,30000,3
195,3,Kismatpur,1900,20000,4
196,3,Jubilee Hills,1450,25000,3
197,2,Pragathi Nagar,1400,18000,3
200,2,Madinaguda,1350,15000,3
